anio,pais_id,pais_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2020,200,ARG,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,75,
2020,200,ARG,22_2,Tenencia ilegal de armas de fuego,2933,
2020,200,ARG,22_3,Portación ilegal de armas de fuego,1637,
2020,200,ARG,22_4,Acopio y fabricación ilegal de armas piezas y municiones,59,
2020,200,ARG,22_5,Entrega y comercialización ilegal de armas de fuego,6,
2020,200,ARG,22_6,Omisión adulteración y supresión de marcaje,112,
2020,200,ARG,22_7,Otros delitos contra la seguridad pública,92823,
2020,200,ARG,23,Delitos contra el orden público,3982,
2020,200,ARG,24,Delitos contra la seguridad de la nación,690,
2020,200,ARG,25,Delitos contra los poderes públicos y el orden constitucional,969,
2020,200,ARG,26,Delitos contra la administración pública,58447,
2020,200,ARG,27,Delitos contra la fe pública,8786,
2020,200,ARG,28_1,Siembra y producción de estupefacientes,960,
2020,200,ARG,28_2,Comercialización y entrega de estupefacientes,5012,
2020,200,ARG,28_3,Tenencia o entrega atenuada de estupefacientes,630,
2020,200,ARG,28_4,Desvío de Importación de estupefacientes,72,
2020,200,ARG,28_5,Organización y financiación de estupefacientes,167,
2020,200,ARG,28_6,Tenencia simple de estupefacientes,9253,
2020,200,ARG,28_7,Tenencia simple atenuada para uso personal de estupefacientes,30405,
2020,200,ARG,28_8,Confabulación de estupefacientes,68,
2020,200,ARG,28_9,Contrabando de estupefacientes,382,
2020,200,ARG,28_10,Otros delitos previstos en la ley 23.737,10263,
2020,200,ARG,29_1,Ley de residuos peligrosos,35,
2020,200,ARG,29_2,Ley de fauna,1147,
2020,200,ARG,29_3,Delitos migratorios,1899,
2020,200,ARG,29_4,Obstrucción del código aduanero,190,
2020,200,ARG,29_5,Contrabando Simple,18813,
2020,200,ARG,29_6,Contrabando Agravado,118,
2020,200,ARG,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,6,
2020,200,ARG,29_8,Otros delitos previstos en leyes especiales,66598,
2020,200,ARG,30,Contravenciones,118940,
2020,200,ARG,31,Suicidios (consumados),3253,3254
2020,200,ARG,32,Delitos contra el orden económico y financiero,327,
2021,200,ARG,1,Homicidios dolosos,2019,2092
2021,200,ARG,2,Homicidios dolosos en grado de tentativa,1407,1541
2021,200,ARG,3,Muertes en Accidentes Viales,3444,3827
2021,200,ARG,4,Homicidios culposos por otros hechos,516,551
2021,200,ARG,5,Lesiones dolosas,154197,163659
2021,200,ARG,6,Lesiones culposas en Accidentes Viales,80192,94480
2021,200,ARG,7,Lesiones culposas por otros hechos,11973,12310
2021,200,ARG,8,Otros delitos contra las personas,46019,47084
2021,200,ARG,9,Delitos contra el honor,771,790
2021,200,ARG,10,Violaciones,6794,6945
2021,200,ARG,11,Otros delitos contra la integridad sexual,31073,34752
2021,200,ARG,12,Delitos contra el estado civil,67,
2021,200,ARG,13,Amenazas,211360,
2021,200,ARG,14_1,Trata de personas simple,170,241
2021,200,ARG,14_2,Trata de personas agravado,96,99
2021,200,ARG,14_3,Otros delitos contra la libertad,13568,14508
2021,200,ARG,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),362566,
2021,200,ARG,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),24688,
2021,200,ARG,17,Robos agravados por el resultado de lesiones y/o muertes ,5368,
2021,200,ARG,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1516,
2021,200,ARG,19,Hurtos,266920,
2021,200,ARG,20,Tentativas de hurto,11451,
2021,200,ARG,21,Otros delitos contra la propiedad,150154,
2021,200,ARG,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,125,
2021,200,ARG,22_2,Tenencia ilegal de armas de fuego,2742,
2021,200,ARG,22_3,Portación ilegal de armas de fuego,1386,
2021,200,ARG,22_4,Acopio y fabricación ilegal de armas piezas y municiones,56,
2021,200,ARG,22_5,Entrega y comercialización ilegal de armas de fuego,7,
2021,200,ARG,22_6,Omisión adulteración y supresión de marcaje,95,
2021,200,ARG,22_7,Otros delitos contra la seguridad pública,45046,
2021,200,ARG,23,Delitos contra el orden público,3612,
